Search rep 1 (of 2)
random seed = 92097
gen	best_like	time	optPrecision
0	-89520.09275	39	0.5
10	-89487.98598	39	0.5
20	-89466.61787	39	0.5
30	-89465.5734	39	0.5
40	-89454.21664	40	0.5
50	-89434.19421	40	0.5
60	-89310.77419	40	0.5
70	-89283.77813	40	0.5
80	-89264.58733	40	0.5
90	-89044.01338	41	0.5
100	-89035.53837	41	0.5
110	-88997.065	41	0.5
120	-88985.22909	41	0.5
130	-88977.78939	42	0.5
140	-88941.99465	42	0.5
150	-88940.10297	42	0.5
160	-88920.55588	42	0.5
170	-88832.5983	42	0.5
180	-88789.69428	43	0.5
190	-88768.50309	43	0.5
200	-88751.68359	43	0.5
210	-88569.47085	43	0.5
220	-88566.17293	44	0.5
230	-88267.0154	44	0.5
240	-88266.91958	44	0.5
250	-88200.46552	44	0.5
260	-88200.35453	44	0.5
270	-88187.61453	45	0.5
280	-88175.74727	45	0.5
290	-88150.56324	45	0.5
300	-88141.39726	45	0.5
310	-88019.3115	46	0.5
320	-87938.38545	46	0.5
330	-87860.96838	47	0.5
340	-87805.3293	48	0.5
350	-87726.86836	48	0.5
360	-87671.76966	49	0.5
370	-87594.35874	49	0.5
380	-87517.69772	50	0.5
390	-87479.6387	51	0.5
400	-87470.57182	51	0.5
410	-87463.40091	52	0.5
420	-87454.73454	52	0.5
430	-87446.00563	53	0.5
440	-87410.17383	53	0.5
450	-87408.79263	54	0.5
460	-87402.75116	54	0.5
470	-87398.58799	55	0.5
480	-87364.38985	55	0.5
490	-87355.86422	56	0.5
500	-87325.76966	56	0.5
510	-87314.87492	57	0.5
520	-87256.22584	57	0.5
530	-87168.67365	58	0.5
540	-87157.73813	58	0.5
550	-87092.10849	59	0.5
560	-87078.24686	59	0.5
570	-87074.12514	60	0.5
580	-87069.06796	60	0.5
590	-87065.00686	61	0.5
600	-87062.35976	61	0.5
610	-87059.05004	62	0.5
620	-87057.02493	62	0.5
630	-87049.35745	62	0.5
640	-87042.29632	63	0.5
650	-87041.97687	63	0.5
660	-87039.83764	64	0.5
670	-87037.16137	64	0.5
680	-87036.67118	64	0.5
690	-87013.61403	65	0.5
700	-87006.36324	65	0.5
710	-87004.44134	66	0.5
720	-86971.68451	66	0.5
730	-86966.64445	67	0.5
740	-86873.78807	67	0.5
750	-86872.35638	67	0.5
760	-86848.04331	68	0.5
770	-86842.05731	68	0.5
780	-86801.07012	69	0.5
790	-86798.98335	69	0.5
800	-86798.2346	69	0.5
810	-86793.79469	70	0.5
820	-86704.91853	70	0.5
830	-86685.77354	70	0.5
840	-86685.65518	71	0.5
850	-86683.97764	71	0.5
860	-86682.38387	72	0.5
870	-86611.32527	72	0.5
880	-86586.26468	72	0.5
890	-86585.49237	73	0.5
900	-86583.12347	73	0.5
910	-86531.07308	73	0.5
920	-86408.86497	74	0.5
930	-86407.82199	74	0.5
940	-86401.6745	74	0.5
950	-86371.08027	74	0.5
960	-86368.11208	75	0.5
970	-86303.59057	75	0.5
980	-86303.59057	75	0.5
990	-86265.79072	75	0.5
1000	-86264.24789	76	0.5
1010	-86262.16167	76	0.5
